"Venue","Review Rating","Sentence","ContextIndependence","FactoidType"
,,"yah, only if I am in that area with a group of people and we dont wanna travel far.",FALSE,"(none)"
,,"My husband and I consider ourselves Martini and Calamari experts :-) and honestly I would come back to New York just to come to Tony De Napoli for that!",FALSE,"judgement :: positive"
,,"We had taken a red eye in to the city and by 4pm that's all we wanted and they provided the best!",FALSE,"(none)"
,,"Everything that I expected and more.",FALSE,"judgement :: positive"
,,"Loved the family style approach.",TRUE,"judgement :: positive"
,,"My daughter is a very picky eater and they went WAY out to make her happy.",FALSE,"(none)"
,,"The veal Marsella ranks right up there with the best.",TRUE,"judgement :: positive"
,,"A surprisingly nice spot in the middle of Times Square for a great Italian meal.",TRUE,"judgement :: positive"
,,"It is suitable for a family style dinner or for a business lunch.",TRUE,"judgement :: positive"
"#The Cinnamon Snail",1.00,"Service is always super and the staff accommodating in all respects.",TRUE,"judgement :: positive"
,,"Have had great experiences in all areas of the menu.",FALSE,"judgement :: positive"
,,"Had a business lunch and it was nice as usual.",FALSE,"judgement :: positive"
,,"Started with a tomato, mozzarella, and crouton salad with a light vinaigrette dressing.",FALSE,"(none)"
,,"The tomatoes were red and yellow varietals and were super tasty - really juicy, firm and fresh.",TRUE,"judgement :: positive"
"#The Cinnamon Snail",1.00,"The dressing was light enough but allowed the taste of the tomatoes to be elevated - a little salt in the dressing was just right.",TRUE,"judgement :: positive"
,,"The entree consisted of pasta, vegetables, grilled chicken and a vinaigrette dressing.",FALSE,"(none)"
,,"The food was just the right amount and it worked very well as the entire meal was prepared with light dressing and the ingredients did not get overpowered by the sauces etc.",TRUE,"judgement :: positive"
,,"Other times I visited starters included some of the trecolori salad, arugula etc and they are always served family style with a table side rationing....absolutely fresh and delicious.",FALSE,"judgement :: positive"
,,"The pastas are always great and portions are large - the seafood with squid ink linguini is my favorite but it is rich and heavy and must be accompanied by a glass of red.... meats are always good and the veal chop is delicious as a meal when hungry and is perfect for sharing.",FALSE,"judgement :: positive"
,,"Several chicken and salmon dishes have always delivered as well.",TRUE,"fact :: practical"
,,"A good spot to try - the food is plentiful, great service and good food.",TRUE,"judgement :: positive"
,,"We found Tony's using Yelp during our first night in NYC.",FALSE,"(none)"
,,"Everyone recommended the Chicken Parmesan, so we ordered it.",FALSE,"(none)"
,,"To our delight it was amazing!!!",FALSE,"judgement :: positive"
,,"Tender cutlet cooked evenly with great seasoning.",TRUE,"(none)"
"#The Cinnamon Snail",1.00,"Breaded just right with a good crispy bite.",FALSE,"(none)"
"#The Cinnamon Snail",1.00,"FYI these are family style plates in which the servings were big enough for a family of 3 to 4.",TRUE,"fact :: practical"
,,"Overall great experience!",TRUE,"judgement :: positive"
,,"We ordered Tony's Meatballs appetizer, Tri Colore salad, and broccoli rabe & sausage pasta special.",FALSE,"(none)"
,,"It was plenty for the four of us.",FALSE,"(none)"
,,"We were full, but ordered dessert anyways.",FALSE,"(none)"
,,"Their strawberry shortcake with vanilla and strawberry ice cream was huge.",TRUE,"fact :: practical"
,,"Enough for 6.",FALSE,"(none)"
,,"No way we could have finished.",FALSE,"(none)"
,,"We made a same-day (Mon) 6:30p reservation.",FALSE,"(none)"
,,"Tried to make reservation at Carmine's before that and they were booked for the week.",FALSE,"fact :: practical :: alert"
,,"Bottom line, good Italian food in Time Square.",TRUE,"judgement :: positive"
,,"Doesn't loose in taste to Carmine's.",TRUE,"fact"
,,"Big portions AND Italian food.",TRUE,"fact :: practical"
,,"Came after a Broadway show around 9:45pm.",FALSE,"(none)"
,,"One entree is enough for 2 people.",TRUE,"fact :: practical"
,,"We got seated right away which was a plus since we didn't eat dinner yet.",FALSE,"(none)"
,,"We ordered the signature ravioli di napoli and mixed peppers and zucchini on the side.",FALSE,"fact :: practical"
,,"The ravioli was good, just cheese in the middle and baked cheese on top.",TRUE,"judgement :: positive"
,,"However the food wasn't very hot, just warm and within 15-20 minutes it was cold.",FALSE,"fact :: practical"
,,"The grilled veggies was very good, just the right amount of spices.",TRUE,"judgement :: positive"
,,"Don't let the black burnt skin turn you off though, just have to cut those off!",FALSE,"(none)"
,,"The waiter was very friendly and was around when we needed him.",FALSE,"fact :: practical"
,,"We also ordered cocktails which was very good.",FALSE,"fact :: practical"
,,"Definitely coming here again for special occasions.",FALSE,"fact"
,,"I don't understand what the other people on here are raving about.",FALSE,"(none)"
,,"Have you never had actual good NYC Italian food?",FALSE,"(none)"
,,"This isn't it.",FALSE,"(none)"
,,"The service was awful and the food was on par with the Olive Garden a few blocks away.",TRUE,"judgement :: negative"
"#The Cinnamon Snail",1.00,"Don't waste your money.",TRUE,"(none)"
,,"A great place to bring the pickiest of eaters...there is something for everyone.",TRUE,"fact :: practical"
,,"Love the family style way..I am sure we will go back!",FALSE,"judgement :: positive"
,,"Don't expect to get a reservation the day of.",TRUE,"fact :: practical :: alert"
,,"I would try calling a few days in advance.",FALSE,"fact :: practical :: advice"
,,"This place gets packed !",TRUE,"fact :: practical"
,,"Our waitress was lovely the entire time and checked on us just enough without bombarding us every min asking how everything was.",TRUE,"judgement :: positive"
,,"Started with white wine sangria (really enjoyed it!).",FALSE,"fact :: practical"
,,"We were a table of five so we ordered 3 dishes to split.",FALSE,"fact"
,,"We got the fish special: breaded and fried flounder with sautéed spinach in a white wine sage sauce with capers.",FALSE,"fact :: practical"
"#The Cinnamon Snail",1.00,"Let me tell you this was the best flounder I've ever had.",TRUE,"judgement :: positive"
,,"Perfectly seasoned and fried.",FALSE,"judgement :: positive"
,,"Possibly the best breaded and fried fish I've ever had!",FALSE,"judgement :: positive"
,,"Would strongly recommend.",FALSE,"fact :: practical :: advice"
,,"Chicken piccata: tasty but nothing special and no capers !",TRUE,"judgement"
"#The Cinnamon Snail",1.00,"I was surprised, but I got my capers with my flounder so it's ok.",FALSE,"judgement"
,,"Rigatoni Bolognese: I've had better.",FALSE,"judgement :: negative"
,,"Sauce is on the sweet side.",TRUE,"fact :: practical"
,,"I wouldn't order this again.",FALSE,"judgement :: negative"
"#The Cinnamon Snail",0.20,"For dessert we got the chocolate decadence (something along those lines) and it was easily split between the five of us.",FALSE,"fact :: practical"
,,"It was very good the hot fudge made it.",TRUE,"judgement :: positive"
,,"Food would be 4 stars but with the great service it bumped it up to 5.",TRUE,"judgement :: positive"
,,"If the fish special is offered when you go...get it!",TRUE,"fact :: practical :: advice"
,,"It was the best dish by far of the night.",TRUE,"judgement :: positive"
,,"Mangia",FALSE,"(none)"
,,"Third time here, ordered baked bolognese penne and chicken parmesan.",TRUE,"fact :: practical"
,,"Can't complain for the price and portion.",TRUE,"judgement :: positive"
,,"It's a place better for a big group though.",TRUE,"fact :: practical :: advice"
,,"I'd recommend this place if you are in need of an Italian spot around Times Square.",FALSE,"fact :: practical :: advice"
,,"It's definitely a touristy spot with prices to match it.",TRUE,"fact :: practical"
,,"But I did enjoy the feel of the place.",FALSE,"judgement :: positive"
,,"I went in there at 11 PM after watching a nearby Broadway show, looked up restaurants on the area on OpenTable and came across Tony's Di Napoli.",FALSE,"fact :: practical"
,,"Right there on 43rd, practically within paces of Times Square.",TRUE,"fact :: trivia"
"#Levain Bakery",1.00,"Very friendly staff and waiters.",TRUE,"judgement :: positive"
,,"Portions are huge, for 2 of us we ordered the chicken marsala and tri colored tortellini with alfredo sauce.",FALSE,"fact :: practical"
,,"Both were $26 per dish.",FALSE,"fact :: practical"
,,"Also picked up a pitcher of red sangria.",FALSE,"fact :: practical"
,,"Tri colored tortellini was actually very very good and very much recommend to any tortellini fans out there.",TRUE,"fact :: practical :: advice"
,,"Chicken marsala was average at best, I think the chicken itself was just bland but the sauce was good.",FALSE,"judgement"
,,"Sangria was AWESOME.",TRUE,"judgement :: positive"
"#Levain Bakery",0.80,"Bill came out to around $85.",FALSE,"fact :: practical"
,,"There are much better Italian spots in New York which makes all homemade foods (which is why this doesn't get 5 stars) but if you are pushed for time before a broadway show or just wanting to stick somewhere in Times Square, then definitely go to Tony's over any other restaurant in Times Square.",TRUE,"fact :: practical :: advice"
,,"Close to Times Square if you're a visiting tourist or a New Yorker showing around ""out of town-ers"".",TRUE,"fact :: trivia"
,,"Extremely friendly and efficient server and host.",TRUE,"judgement :: positive"
,,"We were seated immediately after reserving through Open Table.",FALSE,"fact :: practical"
,,"Family friendly, good portions, fast / friendly / efficient service.",TRUE,"fact :: practical"
,,"Food was surprisingly decent and ""family style"" is fun with a family or large group.",TRUE,"judgement :: positive"
,,"Good value for NYC.",TRUE,"judgement :: positive"
,,"It's good if you're coming with a group and because it's slightly touristy, they get you in and out pretty fast.",TRUE,"fact :: practical"
,,"My friends and I came before seeing a Broadway show.",FALSE,"fact :: practical"
,,"It's quite hectic in there (think squeezing in between chairs to get up to go to the bathroom) and you have to maneuver yourself between waiters, but once you're seated it's fine.",TRUE,"fact :: practical"
,,"The service is nice and the food is good traditional Italian-American (Chicken parm, chicken francese, pasta, etc).",TRUE,"judgement :: positive"
,,"Each family style dish serves 2-3 and costs anywhere from $20-30.",TRUE,"fact :: practical"
"#Levain Bakery",0.80,"My table of 6 ladies ordered 4 dishes plus an appetizer.",TRUE,"fact :: practical"
,,"With 2 glasses of wine, tax and tip, it came to about $45 each.",TRUE,"fact :: practical"
,,"I'm not really a fan of family-style but I guess if I have to go family style, this would be the place to go. it's not AS well known as Carmine's so maybe it's slightly LESS touristy?",FALSE,"fact :: practical"
,,"Make a reservation as it is always packed.",TRUE,"fact :: practical :: advice"
,,"Came here for my moms birthday, your run of the mil midtown Italian Family-stylle joint.",TRUE,"fact :: practical"
"#Levain Bakery",1.00,"The waiter gregario did a great job explaining everything.",TRUE,"judgement :: positive"
,,"But the food to me was average at best.",TRUE,"judgement :: negative"
,,"The house salad had too much dressing/pepper on it, and the chicken Francese was completely swamped in sauce.",TRUE,"judgement :: negative"
,,"The pasta with marinara was nothing to write home about.",TRUE,"judgement :: negative"
,,"The top item for me was the string bean side dish.",TRUE,"judgement :: positive"
,,"Overall, a so-so eating experience.",TRUE,"judgement :: negative"
,,"I'd head elsewhere for authentic Italian.",TRUE,"judgement :: negative"
,,"Service was great and the food was good.",TRUE,"judgement :: positive"
,,"This is definitely a crowded, busy spot, but it definitely works for a pre-theater dinner.",TRUE,"fact :: practical :: advice"
,,"We made reservations through Yelp for 7:30pm.",FALSE,"fact :: practical"
,,"Arrived a few minutes after 7pm.",FALSE,"(none)"
,,"The place was packed.",TRUE,"fact :: practical"
,,"But they still got us right in at our reservation time.",TRUE,"fact :: practical"
,,"The stuffed mushrooms were fine, but not amazing.",TRUE,"fact :: practical"
,,"I'll order something else next time.",FALSE,"(none)"
,,"The fettuccine alfredo was to die for delicious - I highly recommend.",FALSE,"fact :: practical :: advice"
,,"We added shrimp and the portion was generous.",FALSE,"fact :: practical"
,,"We made friends with the ladies ned to us and their dinner of strip steak was also fantastic.",FALSE,"judgement :: positive"
,,"The service was solid.",TRUE,"judgement :: positive"
,,"Prices were reasonable - especially considering the location.",TRUE,"fact :: practical"
,,"So good!",FALSE,"(none)"
,,"Just remember that the portions are huge.",TRUE,"fact :: practical :: advice"
"#Levain Bakery",1.00,"Also, the wait staff is more than happy to help you with making menu selections.",FALSE,"fact :: practical"
,,"I would recommend the crackling calamari salad, sweet soy marinated skirt steak, and the curry miso black cod.",FALSE,"fact :: practical :: advice"
,,"I bought my friends here for a luncheon on a friday afternoon right after my wife and I tied the knot.",FALSE,"fact :: practical"
,,"The restaurant was aware of what was going on so they catered to us accordingly.",FALSE,"(none)"
,,"This is another very open air type of restaurant.",TRUE,"fact :: practical"
,,"The decor was awesome and the service was spectacular.",TRUE,"fact :: practical"
,,"Here is the run down:",FALSE,"(none)"
,,"1)Lamb Spare ribs- AWESOME",TRUE,"fact :: practical"
,,"2)Spicy Pork Belly - Most memorable thing from this lunch",TRUE,"fact :: practical"
,,"3)baby back ribs - YUM",TRUE,"fact :: practical"
,,"4)Drunken Chicken - never had this before, was delicious",FALSE,"judgement :: positive"
,,"5)Miso glazed cod - awesome.",TRUE,"fact :: practical"
,,"It was a party of 14 and we ended up with a $1200 bill with 3-5 cocktails a person...",FALSE,"fact :: practical"
,,"Not bad.",FALSE,"(none)"
,,"They bough us two huge complimentary dessert platters.....which had everything a fat boy could dream about..... banana splits, chocolate cake, whipped cream, etc.",FALSE,"fact :: practical"
,,"Unfortunately, this dessert is probably not on the menu....",FALSE,"(none)"
,,"you can always convince your waiter to make you one though :-D",TRUE,"fact :: practical :: advice"
,,"Great meals and good portions.",TRUE,"judgement :: positive"
,,"Plan on sharing!",TRUE,"fact :: practical :: advice"
,,"The seared tuna was good but the pickled cucumbers were great [and I don't usually like pickles or cucumbers].",FALSE,"judgement :: positive"
,,"Side story: I left my phone in the restaurant and had to come back the next day.",FALSE,"(none)"
,,"Luckily they had found it AND they charged it for me!",FALSE,"(none)"
,,"I'll be back",FALSE,"(none)"
"#Levain Bakery",1.00,"Shew...fantastic dinner.",FALSE,"judgement :: positive"
"#Levain Bakery",0.40,"It was family style with a big group.",TRUE,"fact :: practical"
,,"A lot of delicious food.",TRUE,"fact :: practical"
,,"Lobster pancakes, scallops, crispy spinach, dumplings, chicken, rice, noodles, etc.",TRUE,"fact :: practical"
,,"Asian fusion at the very finest.",TRUE,"judgement :: positive"
,,"The wine was flowing and the service was impeccable.",TRUE,"judgement :: positive"
,,"A must see and will repeat.",FALSE,"(none)"
,,"Sit at the bar after 5pm and get a $7 tapas plate to wash down with a $7 cocktail or glass of wine.",TRUE,"fact :: practical :: advice"
,,"I suggest the fried calamari and mango margarita.",FALSE,"fact :: practical :: advice"
,,"Go on Friday to have a few drinks and you might be able to stand squeezing into the crowds at MOMA free Friday across the street.",FALSE,"fact :: practical :: advice"
,,"Really enjoyed our lunch here.",FALSE,"judgement :: positive"
"#Levain Bakery",1.00,"We arrived as a party of five and were seated immediately.",FALSE,"(none)"
,,"The wait staff made excellent suggestions to us, including the scallion cake appetizer, the garlic shrimp with black fettuccini , and the crispy spin ache (how exactly do they make that?).",FALSE,"fact :: practical"
,,"We topped it off with a delicious bottle of Sauvignon blanc.",FALSE,"judgement :: positive"
,,"All in all a terrific meal , beautifully cooked and artfully plated.",TRUE,"judgement :: positive"
"#Levain Bakery",0.80,"You lose one star , only because the bill (and later the receipt) were delivered to a man at the table when clearly the person paying was a woman.",FALSE,"(none)"
,,"Enjoy this restaurant.",FALSE,"(none)"
,,"It 'a worth a visit.",FALSE,"(none)"
,,"Went here with my brother and cousins last month and got the restaurant week menu.",FALSE,"fact :: practical"
,,"Place is gorgeous at night, with plenty of seating.",TRUE,"judgement :: positive"
,,"Filled with very knowledgeable and attentive staff.",TRUE,"fact :: practical"
,,"My brother and one of the cousins had pork dumplings for appetizers.",FALSE,"fact :: practical"
,,"Perfectly cooked and seasoned, with a very well balanced dipping sauce.",FALSE,"judgement :: positive"
,,"Other cousin had the crispy calamari salad that was out of this world.",FALSE,"judgement :: positive"
,,"I had the lobster crepe because...well it's lobster!",FALSE,"fact :: practical"
,,"Perfectly cooked with seasonal mushrooms, and this delicious coconut curry sauce..wish they gave me a straw!",FALSE,"judgement :: positive"
,,"For main course three of us had the sweet soy marinated skirt steak with udon noodle salad and veggie fried rice...WOW!!",FALSE,"judgement :: positive"
,,"This is definitely not your Friday night take out.",TRUE,"judgement :: positive"
,,"Steak was a perfect medium rare, seasoned well and nicely presented.",TRUE,"judgement :: positive"
,,"My other cousin had the seared tuna loin with avocado ""sashimi"" and what looked like Sriracha mayo and wakame salad...he said it was outrageous and the tuna couldn't have been any fresher.",FALSE,"judgement :: positive"
,,"Dessert was a trio of ice creams with an insanely good chocolate cake, that was just the right amount of heavy to allow you to get up from the table.",TRUE,"judgement :: positive"
,,"Very satisfied with our meal and will definitely return.",FALSE,"judgement :: positive"
,,"The service is good (yes, you know the food isn't up to par when a review starts by talking about the service).",FALSE,"judgement"
,,"I should note that my water glass was promptly refilled without my ever having to ask (which is GREAT!).",FALSE,"judgement :: positive"
,,"I was here for restaurant week and was very excited given the menu offerings and the ease of getting a lunch reservation.",TRUE,"judgement :: positive"
,,"The problem, however, was the food.",FALSE,"judgement :: negative"
,,"Not the taste but the edibility of the food.",FALSE,"(none)"
,,"I found a metal shaving in my marinated flank steak.",FALSE,"fact :: practical :: alert"
"#Levain Bakery",1.00,"Don't know where it's from (maybe from a badly opened can?), don't know why it was in my marinated flank steak (it was definitely not resting on top with-in easy view, and I don't know where the heck it had been, other than in my mouth...",FALSE,"(none)"
,,"Thankfully, I had not bitten down too hard while chewing and am happy to report that the inside of my mouth is intact.",FALSE,"(none)"
,,"My server was very professional and quickly got Ashley, the manager, to come by and help resolve the problem.",FALSE,"judgement :: positive"
,,"To be honest, by the time the manager arrived, my appetite was totally gone, and her offer to ""make me a fresh dish,"" was as unappealing as the metal shaving (although I do appreciate the offer).",FALSE,"(none)"
,,"I did not want anything else from the kitchen, but she was kind enough to see that my side of veggies was packed up and switched my hazelnut torte dessert to a coconut pie, a chocolate cake, and some cookies to go (not sure why she made the switch, I also didn't ask).",FALSE,"(none)"
,,"Ashley told me that she spoke to all the chefs about the incident (so hopefully no one else has to suffer), and also offered to comp my meal, which, while somewhat expected at such high-end restaurants, was still appreciated.",FALSE,"judgement :: positive"
,,"Believe me, I'd be Yelping a lot louder if she hadn't comped the meal.*",FALSE,"(none)"
,,"The calamari salad was quite good",TRUE,"judgement :: positive"
,,"The dressing was almost too light.",FALSE,"judgement :: negative"
"#Levain Bakery",1.00,"But the hot crunchy pieces of calamari were delicious.",FALSE,"judgement :: positive"
,,"The sweet soy sauce of the marinated steak was good.",FALSE,"judgement :: positive"
,,"But some of the steak pieces were chewy with too much non-broken down sinew.",FALSE,"judgement :: negative"
,,"And of course, there was the metal shaving...",FALSE,"(none)"
,,"Would I go back...",FALSE,"(none)"
,,"I really don't know.",FALSE,"(none)"
,,"I do appreciate the efficacy and professionalism with which they handled the situation, and the food was good, although honestly, not super amazing to warrant a non-restaurant week visit.",FALSE,"judgement"
,,"Just a side note for anyone who's ever had a meal comped, please note that your server really gets shafted in these situations unless you tip separately because the restaurant doesn't give her tip.",FALSE,"(none)"
,,"I left a cash tip for my poor server, who was entirely blameless in this situation.",FALSE,"(none)"
,,"Had an ok valentines dinner at the place for about $400.",FALSE,"judgement"
,,"Food was ok, except chicken salad wasn't microwaved properly.",TRUE,"judgement :: negative"
,,"Some pieces of chicken were still frozen with chunks of ice between lettuce.",FALSE,"fact :: practical :: alert"
,,"But the best thing was when I got back home - my entire five course dinner went down the toilet in super liquified form.",FALSE,"(none)"
,,"My both friends who had dinner with me also had very bad diarrhea about two hours after we left the restaurant.",FALSE,"(none)"
,,"Today I feel ok, thanks.",FALSE,"(none)"
,,"Though will never come back to China Grill!",FALSE,"(none)"
,,"The atmosphere was nice and modern.",TRUE,"judgement :: positive"
,,"It was my first time here and I loved it!!",FALSE,"judgement :: positive"
,,"It's a little on the pricey side when u think of Chinese cuisine.",TRUE,"fact :: practical"
,,"I totally think its still worth it since I was very satisfied with my crab cake as appetizer and had grilled shrimp and pasta.",FALSE,"judgement :: positive"
,,"Loved both.",FALSE,"judgement :: positive"
,,"They also gave my friend a slice of cake since it was her birthday.",FALSE,"fact :: practical"
,,"Another added bonus since we never asked.",FALSE,"(none)"
,,"Service was definitely A+",TRUE,"judgement :: positive"
,,"I am not one for over the top ""fusion"" resturaunts haha but I was actually a fan of this one!",FALSE,"(none)"
,,"Not to complicated to the point of not knowing what your eating but interesting enough to have you trying something new.",TRUE,"(none)"
,,"Give this one a try!",FALSE,"fact :: practical :: advice"
,,"The first thought i had when i walked in, is that the place is spectacularly decorated.",FALSE,"judgement :: positive"
,,"It was dimly lit with large hanging decorations in the middle of the 2 story restaurant.",FALSE,"fact :: practical"
,,"The staff exuded that type coolness that you see on one of those trendy restaurants in an episode of Sex & The City.",TRUE,"judgement :: positive"
